site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
northfieldfarm,23,LMEAD,sam2tile,0.69,4.0,0.09867124459015732,72828,0.3999735911892182,0.9672131147540983,0.8955270566155771,0.5796507147265036,0.21508073806762695,0.28200122714042664,1.3846132840694811
northfieldfarm,24,LMEAD,sam2,0.84,4.0,0.030709521713212,140986,0.3999735911892182,1.3734375,0.36477987421383645,0.5968511886025732,0.08555479347705841,0.169524684548378,5.072799759906638
northfieldfarm,24,LMEAD,sam2iter,0.87,4.0,0.030709521713212,140986,0.3999735911892182,3.6354166666666665,0.27397652447752646,0.6449948084202095,0.6298251748085022,0.18773607909679413,1.477541592027911
northfieldfarm,24,LMEAD,sam2tile,0.7,4.0,0.030709521713212,140986,0.3999735911892182,0.8671875,0.8623376623376623,0.5806304342361197,0.253309428691864,0.17172570526599884,6.543036549333475
northfieldfarm,25,LMEAD,sam2,0.79,4.0,0.034426316907634064,134211,0.3999735911892182,0.8098526703499079,0.30208678370321296,0.7008893173400295,0.3730514645576477,0.3645937144756317,4.044517074291795
northfieldfarm,25,LMEAD,sam2iter,0.85,4.0,0.034426316907634064,134211,0.3999735911892182,3.1312154696132595,0.27222458528285837,0.7103245030238307,0.12485738098621368,0.34315863251686096,2.6846544109651203
northfieldfarm,25,LMEAD,sam2tile,0.81,4.0,0.034426316907634064,134211,0.3999735911892182,1.1072744014732965,0.5696159122085048,0.720183114258849,0.07398265600204468,0.322710245847702,5.948490446837543
northfieldfarm,26,LMEAD,sam2,0.88,4.0,0.028583290699928755,116948,0.3999735911892182,2.423312883435583,0.36734239251503675,0.7688735683119531,0.7268322706222534,0.07136406749486923,2.8286906565707874
northfieldfarm,26,LMEAD,sam2iter,0.8,4.0,0.028583290699928755,116948,0.3999735911892182,2.4551031790295594,0.3996836873023046,0.7942750125743139,0.500774085521698,0.09346433728933334,3.311521932683525
northfieldfarm,26,LMEAD,sam2tile,0.78,4.0,0.028583290699928755,116948,0.3999735911892182,1.3943112102621305,0.6828694629557036,0.7338883165015446,0.28488689661026,0.06807824224233627,4.596394756493936
northfieldfarm,27,LMEAD,sam2,1.03,4.0,0.0771010490879712,231920,0.3999735911892182,1.6338877338877338,0.31872592901009683,0.7046343091897627,0.2227340042591095,0.2017190158367157,9.099960807765536
northfieldfarm,27,LMEAD,sam2iter,1.04,4.0,0.0771010490879712,231920,0.3999735911892182,2.1644490644490646,0.3569581884639387,0.7419613488143322,0.1504206508398056,0.18422040343284607,6.639410397092235
northfieldfarm,27,LMEAD,sam2tile,0.98,4.0,0.0771010490879712,231920,0.3999735911892182,0.974012474012474,0.5601380216891225,0.7432360165456314,0.06842665374279022,0.1385597139596939,14.096694719932646
